scenario,policy,ablation,mean_bytes_kb,mean_hit_rate,n_trials,ci95_bytes_kb,ci95_hit_rate
nightly_wifi,acorn,alpha0,943103.1635710349,0.7644444444444445,30,20125.26076140936,0.05587324756618488
nightly_wifi,acorn,beta0,943103.1635710348,0.7644444444444445,30,20125.26076140937,0.05587324756618488
nightly_wifi,acorn,delta0,943103.1635710348,0.7644444444444445,30,20125.26076140937,0.05587324756618488
nightly_wifi,acorn,full,943103.1635710348,0.7644444444444445,30,20125.26076140937,0.05587324756618488
nightly_wifi,acorn,gamma0,943103.1635710349,0.7644444444444445,30,20125.26076140936,0.05587324756618488
spotty_cellular,acorn,alpha0,205565.64023678258,0.31722222222222224,30,10530.78623612485,0.016219130545692288
spotty_cellular,acorn,beta0,204978.4343440216,0.09305555555555554,30,10482.739108937718,0.04022540071679292
spotty_cellular,acorn,delta0,204354.8581478821,0.07555555555555556,30,10496.76305890333,0.031510983087860434
spotty_cellular,acorn,full,204354.8581478821,0.07555555555555556,30,10496.76305890333,0.031510983087860434
spotty_cellular,acorn,gamma0,203855.29649172694,0.042222222222222223,30,10400.613768266883,0.02076873535404912
