scenario,ablation,mean_bytes_kb,ci95_bytes_kb,mean_hit_rate,ci95_hit_rate,delta_kb_pct,delta_hit_pp
nightly_wifi,alpha0,942574.3,40292.8,0.7,0.6,3.9997065067238697,0.0
nightly_wifi,beta0,950589.2,14122.8,0.8,0.5,4.884037055181144,10.000000000000009
nightly_wifi,delta0,911509.5,76303.6,1.0,0.1,0.5721463847365843,30.000000000000004
nightly_wifi,full,906324.0,60598.8,0.7,0.0,0.0,0.0
nightly_wifi,gamma0,912298.8,40803.2,0.8,0.1,0.6592344459597281,10.000000000000009
spotty_cellular,alpha0,27625.0,10114.0,0.2,0.1,-4.127464488118744,10.0
spotty_cellular,beta0,26037.4,5231.9,0.2,0.0,-9.637228737120102,10.0
spotty_cellular,delta0,25363.3,3630.3,0.2,0.0,-11.976692128561167,10.0
spotty_cellular,full,28814.3,7272.0,0.1,0.0,0.0,0.0
spotty_cellular,gamma0,24142.7,7512.0,0.2,0.0,-16.212783236101515,10.0
