scenario,policy,ablation,mean_bytes_kb,mean_hit_rate,n_trials,ci95_bytes_kb,ci95_hit_rate
nightly_wifi,acorn,alpha0,956359.8,0.6,3,8438.3,0.2
nightly_wifi,acorn,beta0,943186.5,0.9,3,36682.6,0.4
nightly_wifi,acorn,delta0,931850.4,0.8,3,86351.1,0.2
nightly_wifi,acorn,full,946812.3,0.7,3,21138.6,0.4
nightly_wifi,acorn,gamma0,896948.4,0.8,3,135670.3,0.1
spotty_cellular,acorn,alpha0,24158.8,0.1,3,12711.6,0.0
spotty_cellular,acorn,beta0,23677.9,0.1,3,12997.6,0.1
spotty_cellular,acorn,delta0,26189.1,0.1,3,3814.1,0.1
spotty_cellular,acorn,full,22294.3,0.2,3,5772.2,0.0
spotty_cellular,acorn,gamma0,27242.2,0.2,3,10067.2,0.0
