scenario,policy,trial,bytes_kb,hit_rate,seed,ablation
nightly_wifi,acorn,7531,904155.5,0.6,7531,full
nightly_wifi,acorn,7532,950547.7,0.7,7532,full
nightly_wifi,acorn,7533,954573.4,0.9,7533,full
nightly_wifi,acorn,2609,869944.2,0.8,2609,alpha0
nightly_wifi,acorn,2610,947225.6,0.7,2610,alpha0
nightly_wifi,acorn,2611,944253.6,0.6,2611,alpha0
nightly_wifi,acorn,5272,952658.0,0.9,5272,beta0
nightly_wifi,acorn,5273,907469.9,0.7,5273,beta0
nightly_wifi,acorn,5274,894268.1,0.9,5274,beta0
nightly_wifi,acorn,5428,950799.2,0.7,5428,gamma0
nightly_wifi,acorn,5429,948344.9,0.8,5429,gamma0
nightly_wifi,acorn,5430,950152.1,0.5,5430,gamma0
nightly_wifi,acorn,5519,958481.6,0.9,5519,delta0
nightly_wifi,acorn,5520,953848.2,0.7,5520,delta0
nightly_wifi,acorn,5521,952801.3,0.5,5521,delta0
spotty_cellular,acorn,7531,27522.0,0.2,7531,full
spotty_cellular,acorn,7532,24460.6,0.1,7532,full
spotty_cellular,acorn,7533,21591.1,0.1,7533,full
spotty_cellular,acorn,2609,29358.7,0.2,2609,alpha0
spotty_cellular,acorn,2610,24866.7,0.2,2610,alpha0
spotty_cellular,acorn,2611,28106.3,0.2,2611,alpha0
spotty_cellular,acorn,5272,21136.1,0.2,5272,beta0
spotty_cellular,acorn,5273,23834.8,0.2,5273,beta0
spotty_cellular,acorn,5274,24838.4,0.2,5274,beta0
spotty_cellular,acorn,5428,26890.3,0.2,5428,gamma0
spotty_cellular,acorn,5429,29070.8,0.1,5429,gamma0
spotty_cellular,acorn,5430,22332.4,0.1,5430,gamma0
spotty_cellular,acorn,5519,25011.0,0.2,5519,delta0
spotty_cellular,acorn,5520,24526.9,0.2,5520,delta0
spotty_cellular,acorn,5521,19661.9,0.1,5521,delta0
