scenario,policy,trial,bytes_kb,hit_rate,seed,ablation
nightly_wifi,acorn,1337,961401.6,0.8,1337,
nightly_wifi,acorn,1338,955236.7,0.7,1338,
nightly_wifi,acorn,1339,955272.9,0.9,1339,
nightly_wifi,acorn,1340,955747.7,0.9,1340,
nightly_wifi,acorn,1341,952852.6,0.6,1341,
nightly_wifi,acorn,1342,885375.5,1.0,1342,
nightly_wifi,acorn,1343,950575.3,0.7,1343,
nightly_wifi,acorn,1344,949338.4,1.0,1344,
nightly_wifi,acorn,1345,927208.4,1.0,1345,
nightly_wifi,acorn,1346,959551.1,0.6,1346,
nightly_wifi,acorn,1347,893332.6,0.9,1347,
nightly_wifi,acorn,1348,859023.2,0.7,1348,
nightly_wifi,acorn,1349,886299.6,0.5,1349,
nightly_wifi,acorn,1350,950936.1,0.7,1350,
nightly_wifi,acorn,1351,954495.1,0.7,1351,
nightly_wifi,acorn,1352,948619.8,0.6,1352,
nightly_wifi,acorn,1353,921914.5,0.9,1353,
nightly_wifi,acorn,1354,952683.0,0.8,1354,
nightly_wifi,acorn,1355,872393.4,0.6,1355,
nightly_wifi,acorn,1356,953639.2,0.7,1356,
nightly_wifi,acorn,1357,929440.4,0.7,1357,
nightly_wifi,acorn,1358,952482.9,0.9,1358,
nightly_wifi,acorn,1359,952970.7,1.0,1359,
nightly_wifi,acorn,1360,928988.3,0.7,1360,
nightly_wifi,acorn,1361,896704.8,0.8,1361,
nightly_wifi,acorn,1362,847727.2,0.9,1362,
nightly_wifi,acorn,1363,863028.7,1.0,1363,
nightly_wifi,acorn,1364,957135.9,0.6,1364,
nightly_wifi,acorn,1365,902955.0,0.5,1365,
nightly_wifi,acorn,1366,893276.7,0.8,1366,
nightly_wifi,LRU_whole,1337,942019.9,0.5,1337,
nightly_wifi,LRU_whole,1338,939450.2,0.4,1338,
nightly_wifi,LRU_whole,1339,939673.6,0.5,1339,
nightly_wifi,LRU_whole,1340,936562.7,0.6,1340,
nightly_wifi,LRU_whole,1341,946258.2,0.3,1341,
nightly_wifi,LRU_whole,1342,941713.4,0.7,1342,
nightly_wifi,LRU_whole,1343,943436.9,0.4,1343,
nightly_wifi,LRU_whole,1344,946168.6,0.7,1344,
nightly_wifi,LRU_whole,1345,941493.1,0.7,1345,
nightly_wifi,LRU_whole,1346,949978.1,0.4,1346,
nightly_wifi,LRU_whole,1347,945054.6,0.7,1347,
