scenario,eta,trial,bytes_kb,hit_rate
nightly_wifi,0.2,0,944249.956190503,0.8666666666666667
nightly_wifi,0.2,1,951741.5652951462,0.85
nightly_wifi,0.2,2,945878.339836046,0.7833333333333333
nightly_wifi,0.2,3,947106.1716467154,0.8166666666666667
nightly_wifi,0.2,4,952130.9819877702,0.725
nightly_wifi,0.2,5,949727.3415335406,0.925
nightly_wifi,0.2,6,946929.982284986,0.7416666666666667
nightly_wifi,0.2,7,946025.7572648242,0.8583333333333333
nightly_wifi,0.2,8,950220.6876607098,0.9083333333333333
nightly_wifi,0.2,9,948500.1831320421,0.6833333333333333
nightly_wifi,0.2,10,951730.0452482615,0.9333333333333333
nightly_wifi,0.2,11,949693.7322201075,0.85
nightly_wifi,0.2,12,948460.223109057,0.5916666666666667
nightly_wifi,0.2,13,944602.2927547549,0.8416666666666667
nightly_wifi,0.2,14,952671.9301724422,0.8416666666666667
nightly_wifi,0.2,15,947518.2559105689,0.6833333333333333
nightly_wifi,0.2,16,954018.0814756717,0.925
nightly_wifi,0.2,17,945913.7259488717,0.8166666666666667
nightly_wifi,0.2,18,955586.0134807574,0.7083333333333334
nightly_wifi,0.2,19,948782.9040924323,0.8333333333333334
nightly_wifi,0.2,20,952160.6377003159,0.8666666666666667
nightly_wifi,0.2,21,948422.0426961742,0.825
nightly_wifi,0.2,22,950519.9377128728,0.9083333333333333
nightly_wifi,0.2,23,946652.1744388597,0.7416666666666667
nightly_wifi,0.2,24,948366.2779639078,0.9166666666666666
nightly_wifi,0.2,25,952660.8347583112,0.9833333333333333
nightly_wifi,0.2,26,946297.0917783506,0.9666666666666667
nightly_wifi,0.2,27,947854.3271852002,0.725
nightly_wifi,0.2,28,945151.9613162063,0.6416666666666667
nightly_wifi,0.2,29,946245.484602747,0.9
nightly_wifi,0.3,0,953036.5095625872,0.8833333333333333
nightly_wifi,0.3,1,951544.9158025956,0.875
nightly_wifi,0.3,2,947097.8698947028,0.8416666666666667
nightly_wifi,0.3,3,949690.7952583169,0.8916666666666667
nightly_wifi,0.3,4,949922.0350320736,0.725
nightly_wifi,0.3,5,956210.8960599592,0.9916666666666667
nightly_wifi,0.3,6,945927.0745564853,0.7416666666666667
nightly_wifi,0.3,7,944191.2157861089,0.9333333333333333
nightly_wifi,0.3,8,950062.4385266878,0.975
nightly_wifi,0.3,9,952528.694441116,0.6833333333333333
nightly_wifi,0.3,10,953015.0631283039,0.9916666666666667
nightly_wifi,0.3,11,938920.2508047927,0.85
nightly_wifi,0.3,12,950935.8767973162,0.5916666666666667
nightly_wifi,0.3,13,949831.03247114,0.85
nightly_wifi,0.3,14,950051.6898712014,0.8666666666666667
nightly_wifi,0.3,15,950276.4822792645,0.6833333333333333
nightly_wifi,0.3,16,957124.7340620642,0.975
nightly_wifi,0.3,17,949812.6420718338,0.875
nightly_wifi,0.3,18,939715.2623704703,0.7083333333333334
nightly_wifi,0.3,19,948968.690390318,0.8833333333333333
nightly_wifi,0.3,20,951257.1855517675,0.8666666666666667
nightly_wifi,0.3,21,953252.4292058514,0.925
nightly_wifi,0.3,22,952012.9143589828,0.9583333333333334
nightly_wifi,0.3,23,952363.1335499594,0.7416666666666667
nightly_wifi,0.3,24,957053.2028888873,0.9333333333333333
nightly_wifi,0.3,25,918855.9748642843,1.0
nightly_wifi,0.3,26,931104.4882540221,1.0
nightly_wifi,0.3,27,953946.4989050486,0.725
nightly_wifi,0.3,28,952627.3812606176,0.6416666666666667
nightly_wifi,0.3,29,948135.689775123,0.925
nightly_wifi,0.4,0,960794.1393963557,0.8833333333333333
nightly_wifi,0.4,1,955236.7428631141,0.875
nightly_wifi,0.4,2,955576.3935944603,0.9333333333333333
